MaxMalicious,p_graph,p_txDistribution,numRounds
0,0.1,0.01,10
0,0.1,0.01,20
0,0.1,0.05,10
0,0.1,0.05,20
0,0.1,0.1,10
0,0.1,0.1,20
0,0.2,0.01,10
0,0.2,0.01,20
0,0.2,0.05,10
0,0.2,0.05,20
0,0.2,0.1,10
0,0.2,0.1,20
0,0.3,0.01,10
0,0.3,0.01,20
0,0.3,0.05,10
0,0.3,0.05,20
0,0.3,0.1,10
0,0.3,0.1,20
